local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
MS,1,1,1,0.014907445758581161,51.60603911237207,5093,9869
HI,1,1,1,0.013605198822915554,52.78208030501609,4430,8393
OK,1,1,1,0.01427000854164362,52.38387810272794,8526,16276
LA,1,1,1,0.013857116922736168,55.408344868499114,11208,20228
ND,1,1,1,0.015868213027715683,48.65343727852587,1373,2822
WY,1,1,1,0.015728820115327835,45.54904051172708,1709,3752
WI,1,1,1,0.013463799841701984,56.782186648501366,13337,23488
MT,1,1,1,0.01583222672343254,44.7887323943662,2226,4970
MA,1,1,1,0.010996975004673004,60.04466476882301,24467,40748
DE,1,1,1,0.01583617366850376,44.418145956607496,2252,5070
MO,2,2,1,0.013065035454928875,58.503809255079005,16587,28352
NH,2,2,1,0.015635209158062935,48.353651589381336,4244,8777
WY,2,2,1,0.01590633951127529,42.430703624733475,1592,3752
OR,2,2,1,0.013876272365450859,54.609426655332015,11563,21174
DE,2,2,1,0.015766870230436325,44.73372781065088,2268,5070
CT,2,2,1,0.013706997968256474,58.54776798407734,16473,28136
WA,2,2,1,0.011306646279990673,60.348402035486394,22414,37141
WV,2,2,1,0.015492547303438187,46.60824898020849,3085,6619
WI,2,2,1,0.013524546287953854,56.47564713896458,13265,23488
KY,2,2,1,0.014039365574717522,54.02505509801647,9315,17242
ME,3,3,1,0.014793720096349716,50.47109752992106,1982,3927
TN,3,3,1,0.013350671157240868,58.40609791010593,16321,27944
GA,3,3,1,0.010452402755618095,61.7997156901365,36083,58387
NH,3,3,1,0.014761587604880333,49.49299305001709,4344,8777
IL,3,3,1,0.01128416694700718,68.9071304347826,49527,71875
OR,3,3,1,0.013587181456387043,55.41229810144517,11733,21174
IN,3,3,1,0.011712894774973392,56.33536173089926,16664,29580
CO,3,3,1,0.011064961552619934,59.840698194053786,22764,38041
MA,3,3,1,0.010932398959994316,59.590654756061646,24282,40748
TX,3,3,1,0.008185731247067451,72.49493564690717,106287,146613
WV,4,4,1,0.015651872381567955,45.23341894546004,2994,6619
DE,4,4,1,0.015639707446098328,45.44378698224852,2304,5070
CO,4,4,1,0.011067542247474194,59.94847664362135,22805,38041
MO,4,4,1,0.013157217763364315,58.7859762979684,16667,28352
CT,4,4,1,0.013661036267876625,58.064401478532844,16337,28136
OR,4,4,1,0.014062155038118362,55.26589213185983,11702,21174
CA,4,4,1,0.007018333300948143,77.66528825496309,192321,247628
TN,4,4,1,0.013290619477629662,58.678070426567416,16397,27944
WI,4,4,1,0.013451934792101383,57.85507493188011,13589,23488
WY,4,4,1,0.015745745971798897,44.882729211087415,1684,3752
FL,5,5,1,0.008590501733124256,71.17165998270032,90509,127170
TN,5,5,1,0.013201558962464333,58.97509304322932,16480,27944
NY,5,5,1,0.00884225219488144,76.64784457417863,112122,146282
AL,5,5,1,0.011831439100205898,56.5067214339059,12106,21424
CO,5,5,1,0.010960831306874752,60.71606950395626,23097,38041
ME,5,5,1,0.014790762215852737,50.49656226126814,1983,3927
NJ,5,5,1,0.012176163494586945,66.96188203622124,43777,65376
ID,5,5,1,0.014871267601847649,55.450516986706056,1877,3385
OR,5,5,1,0.01370516698807478,55.71927836025314,11798,21174
KS,5,5,1,0.01412501186132431,53.48189415041783,8064,15078
FL,6,6,1,0.008591347374022007,71.42014626091058,90825,127170
