model,epoch,average_loss,accuracy,correct_data,total_data
1,1,4.8198199963201045,32.48804359915471,2921,8991
2,1,64.86988838882284,10.922033144255366,982,8991
3,1,4.470366891957061,11.233455677900123,1010,8991
4,1,6.202757711392491,29.02902902902903,2610,8991
5,1,6.0293740293842015,23.423423423423422,2106,8991
global,1,2.2924208931153376,18.229340451562674,1639,8991
1,2,4.806851471561623,32.64375486597709,2935,8991
2,2,68.95511483705928,10.922033144255366,982,8991
3,2,4.561730966195688,11.233455677900123,1010,8991
4,2,6.109681265331086,30.207985763541316,2716,8991
5,2,7.75039777394039,23.846068290512733,2144,8991
global,2,2.282798810366356,20.04226448670893,1802,8991
1,3,5.3887468231306395,32.84395506617729,2953,8991
2,3,51.713552718299894,10.922033144255366,982,8991
3,3,5.388141834461415,11.233455677900123,1010,8991
4,3,5.867513935580003,27.583138694249804,2480,8991
5,3,9.20084197899614,23.734845957068178,2134,8991
global,3,2.2709448849076943,18.19597375152931,1636,8991
1,4,5.852784798416038,32.94405516627739,2962,8991
2,4,59.628279945527126,10.922033144255366,982,8991
3,4,4.553187118596461,11.233455677900123,1010,8991
4,4,4.594271465000699,30.7640974307641,2766,8991
5,4,6.608463051878376,23.668112557001447,2128,8991
global,4,2.25634471429573,20.72072072072072,1863,8991
1,5,4.444969565037585,32.98854409965521,2966,8991
2,5,55.54506763708152,10.922033144255366,982,8991
3,5,5.689107343970489,11.233455677900123,1010,8991
4,5,6.822203887236846,29.284840395951505,2633,8991
5,5,6.497906270460456,23.623623623623622,2124,8991
global,5,2.2398914790713023,24.635746857969078,2215,8991
1,6,4.977124336046659,32.855077299521746,2954,8991
2,6,60.83379329307606,10.922033144255366,982,8991
3,6,8.441290513332342,11.233455677900123,1010,8991
4,6,6.053227087425425,29.585140696251806,2660,8991
5,6,6.827550135177495,23.901679457235012,2149,8991
global,6,2.2211603914162645,27.427427427427425,2466,8991
1,7,4.510213126198573,32.83283283283283,2952,8991
2,7,56.80980918527034,10.922033144255366,982,8991
3,7,3.8699145108650317,11.233455677900123,1010,8991
4,7,5.773354283509855,30.219107996885775,2717,8991
5,7,8.85568252239327,23.901679457235012,2149,8991
global,7,2.201028675566843,29.9632966299633,2694,8991
1,8,5.3483656878042325,32.94405516627739,2962,8991
2,8,58.324761909261696,10.922033144255366,982,8991
3,8,5.009953648717077,11.233455677900123,1010,8991
4,8,6.190079750228201,30.341452563674785,2728,8991
5,8,7.539723877116049,23.745968190412633,2135,8991
global,8,2.1780652332698365,31.987543098654207,2876,8991
1,9,5.115794917842647,31.920809698587476,2870,8991
2,9,70.49705092462254,10.922033144255366,982,8991
3,9,4.824489659269187,11.233455677900123,1010,8991
4,9,6.113668537447495,30.05227449671894,2702,8991
5,9,5.740020349736129,23.779334890446002,2138,8991
global,9,2.152989961668483,34.72361250139028,3122,8991
1,10,4.642197794039699,32.9662996329663,2964,8991
2,10,47.86697884950923,10.922033144255366,982,8991
3,10,3.952097781918203,11.233455677900123,1010,8991
4,10,6.563535481349948,29.062395729062395,2613,8991
5,10,6.863885967130325,23.790457123790457,2139,8991
global,10,2.126511427096856,35.83583583583583,3222,8991
1,11,4.874802545397502,33.22211099988878,2987,8991
2,11,42.81131222096663,10.922033144255366,982,8991
3,11,4.161540125941371,11.233455677900123,1010,8991
4,11,6.6055136676254165,30.75297519741964,2765,8991
5,11,7.294079109898744,23.95729062395729,2154,8991
global,11,2.0983669402774083,37.00367033700367,3327,8991
1,12,4.765961109153316,32.7660994327661,2946,8991
